"rules" "support" "confidence" "coverage" "lift" "count"
"1" "{honey} => {whole milk}" 0.00111845449923742 0.733333333333333 0.00152516522623284 2.87000928505107 11
"2" "{tidbits} => {rolls/buns}" 0.00122013218098627 0.521739130434783 0.00233858668022369 2.83654192804095 12
"3" "{cocoa drinks} => {whole milk}" 0.00132180986273513 0.590909090909091 0.00223690899847483 2.31261078754115 13
"4" "{pudding powder} => {whole milk}" 0.00132180986273513 0.565217391304348 0.00233858668022369 2.21206249243066 13
"5" "{cooking chocolate} => {whole milk}" 0.00132180986273513 0.52 0.0025419420437214 2.03509749303621 13
"6" "{cereals} => {whole milk}" 0.00366039654295882 0.642857142857143 0.00569395017793594 2.51591723040191 36
"7" "{jam} => {whole milk}" 0.00294865277071683 0.547169811320755 0.00538891713268937 2.14143059862301 29
"8" "{specialty cheese} => {other vegetables}" 0.00427046263345196 0.5 0.00854092526690392 2.58407777193904 42
"9" "{rice} => {other vegetables}" 0.00396542958820539 0.52 0.00762582613116421 2.68744088281661 39
"10" "{rice} => {whole milk}" 0.00467717336044738 0.613333333333333 0.00762582613116421 2.40037140204271 46
"11" "{baking powder} => {whole milk}" 0.00925266903914591 0.522988505747126 0.017691916624301 2.04679345563987 91
"12" "{liver loaf,yogurt} => {whole milk}" 0.00101677681748856 0.666666666666667 0.00152516522623284 2.60909935004642 10
"13" "{tropical fruit,curd cheese} => {other vegetables}" 0.00101677681748856 0.666666666666667 0.00152516522623284 3.44543702925206 10
"14" "{curd cheese,rolls/buns} => {whole milk}" 0.00101677681748856 0.625 0.0016268429079817 2.44603064066852 10
"17" "{other vegetables,cleaner} => {whole milk}" 0.00101677681748856 0.625 0.0016268429079817 2.44603064066852 10
"18" "{liquor,red/blush wine} => {bottled beer}" 0.00193187595322827 0.904761904761905 0.00213523131672598 11.2352693602694 19
"19" "{soda,liquor} => {bottled beer}" 0.00122013218098627 0.571428571428571 0.00213523131672598 7.0959595959596 12
"31" "{other vegetables,instant coffee} => {soda}" 0.00101677681748856 0.526315789473684 0.00193187595322827 3.01825993555317 10
"32" "{other vegetables,instant coffee} => {whole milk}" 0.00101677681748856 0.526315789473684 0.00193187595322827 2.05981527635244 10
"33" "{yogurt,vinegar} => {other vegetables}" 0.00101677681748856 0.555555555555556 0.00183019827147941 2.87119752437671 10
"38" "{tropical fruit,candles} => {whole milk}" 0.00101677681748856 0.666666666666667 0.00152516522623284 2.60909935004642 10
"39" "{root vegetables,candles} => {other vegetables}" 0.00101677681748856 0.588235294117647 0.00172852058973055 3.04009149639888 10
"40" "{soups,bottled beer} => {whole milk}" 0.00111845449923742 0.916666666666667 0.00122013218098627 3.58751160631383 11
"41" "{whipped/sour cream,soups} => {other vegetables}" 0.00101677681748856 0.666666666666667 0.00152516522623284 3.44543702925206 10
"42" "{pip fruit,soups} => {other vegetables}" 0.00101677681748856 0.714285714285714 0.00142348754448399 3.69153967419863 10
"43" "{root vegetables,soups} => {other vegetables}" 0.00122013218098627 0.705882352941177 0.00172852058973055 3.64810979567865 12
"44" "{root vegetables,soups} => {whole milk}" 0.00111845449923742 0.647058823529412 0.00172852058973055 2.53236113386859 11
